Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Type,Popularity,Capacity
Cape Clear Cottages,http://www.capeclearcottages.com,+353(0)2839153,-9.493040897,51.43814874,Cork,Cape Clear Island,Republic of Ireland,Self Catering,4,12
Rolf's Holiday Cottages,http://www.rolfscountryhouse.com,+353(0)2820289,-9.368592,51.479594,Cork,Baltimore,Republic of Ireland,Self Catering,2,7
The Waterfront Hotel,http://www.waterfrontbaltimore.ie,+353(0)2820600,-9.373260069,51.48300451,Cork,Baltimore,Republic of Ireland,Hotel,5,279
Caseys of Baltimore Lodge,http://caseysofbaltimore.com,+353(0)2820197,-9.361894665,51.484662,Cork,Baltimore,Republic of Ireland,Self Catering,5,21
Casey's of Baltimore Hotel,http://www.caseysofbaltimore.com,+353(0)2820197,-9.362506,51.484671,Cork,Baltimore,Republic of Ireland,Hotel,1,207
Schull Harbour Hotel,http://www.schullharbourhotel.ie,+353(0)2828801,-9.543757851,51.52726517,Cork,Schull,Republic of Ireland,Hotel,4,188
Schull Harbour Apartments,https://schullharbourhotel.ie/apartments.html,+353(0)2828801,-9.544078375,51.52754363,Cork,Schull,Republic of Ireland,Self Catering,1,17
Castletownshend Cottages,http://www.castle-townshend.com,+353(0)2836100,-9.173985,51.529182,Cork,Castletownshend,Republic of Ireland,Self Catering,5,38
Galley Head Lightkeeper's Cottages - Irish Landmark Trust,http://irishlandmark.com/property/galley-head-lightkeepers-house-1-2/,+353(0)16704733,-8.952414509,51.52967869,Cork,Clonakilty,Republic of Ireland,Self Catering,2,36
Russagh Mill Hostel and Adventure Centre,http://www.russaghmillhostel.com,+353(0)2822451,-9.248215,51.536625,Cork,Skibbereen,Republic of Ireland,Hostel,3,87
Hideaway Camping and Caravan Park,,+353(0)2822254,-9.260331,51.541699,Cork,Skibbereen,Republic of Ireland,Camping,3,93
West Cork Hotel,http://www.westcorkhotel.com,+353(0)2821277,-9.270709933,51.55082936,Cork,Skibbereen,Republic of Ireland,Hotel,5,321
West Cork Hotel,http://www.westcorkhotel.com,+353(0)2821277,-9.270709933,51.55082936,Cork,Skibbereen,Republic of Ireland,Hotel,3,329
Shearwater Country House B&B,http://shearwaterbandb.com/,+353(0)2833178,-9.130571356,51.55812457,Cork,Skibbereen,Republic of Ireland,B & B,5,14
PK Lodge,http://www.pklodgeskibbereen.com,+353(0)2821749,-9.239134,51.560277,Cork,Skibbereen,Republic of Ireland,Self Catering,5,16
Lis-Ardagh Lodge,http://www.lis-ardaghlodge.com,+353(0)2834951,-9.150218,51.56235,Cork,Union Hall,Republic of Ireland,Self Catering,3,4
Meadow Camping Park,,+353(0)2833280,-9.10905,51.564219,Cork,Glandore,Republic of Ireland,Camping,5,11
"Celtic Ross Hotel, Conference, Leisure Centre & Holistic Suite",http://www.celticrosshotel.com,+353(0)238848722,-9.02894,51.57588,Cork,West Cork,Republic of Ireland,Hotel,5,282
Ethan House B&B,http://www.rosscarbery.ie/ethan-house-bb/,+353(0)238848795,-9.034592,51.576062,Cork,Rosscarbery,Republic of Ireland,B & B,3,6
Pinewood Cottage,http://www.pinewoodcottage.com,+353(0)2761224,-9.693571,51.586537,Cork,Bantry,Republic of Ireland,Self Catering,4,13
Coolbawn Lodge Farmhouse,http://www.coolbawnlodge.com,+353(0)2838166,-9.332826,51.589705,Cork,Skibbereen,Republic of Ireland,Self Catering,5,18
Dunmore House Hotel,http://www.dunmorehousehotel.ie,+353(0)238833352,-8.867678904,51.5902265,Cork,Clonakilty,Republic of Ireland,Hotel,4,190
Inchydoney Island Lodge & Spa,http://www.inchydoneyisland.com,+353(0)238833143,-8.862292,51.597367,Cork,Clonakilty,Republic of Ireland,Self Catering,5,15
Inchydoney Island Apartments,https://www.inchydoneyisland.com,+353(0)238833143,-8.862292,51.597367,Cork,Clonakilty,Republic of Ireland,Self Catering,3,5
Inchydoney Island Lodge & Spa,http://www.inchydoneyisland.com,,-8.86229,51.59737,Cork,Clonakilty,Republic of Ireland,Self Catering,4,16
Quality Hotel and Leisure Centre Clonakilty,http://www.qualityhotelclonakilty.com,+353(0)238836400,-8.8957,51.616378,Cork,Clonakilty,Republic of Ireland,Hotel,2,304
Melrose Bed & Breakfast,http://www.melrosewestcork.com,+353(0)238833956,-8.908599,51.617508,Cork,Clonakilty,Republic of Ireland,B & B,3,10
